Time,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
0,20.0481902060145,20,20,20,20,20,20,20,20,20,20
900,19.4520185939422,19.9995286599545,19.9999999988513,19.9999999999999,20,20,19.9999999999999,19.9999999999999,19.9999999999999,19.9999999999999,20
1800,21.749155863667,19.9927077371166,19.9999894314609,19.9999999991145,19.9999999999999,19.9999999999999,19.9999999999998,19.9999999999998,19.9999999999998,19.9999999999998,19.9999999999999
2700,19.4580921186658,20.015066082772,19.9998581596205,19.9999997876043,19.9999999999565,19.9999999999998,19.9999999999998,19.9999999999997,19.9999999999997,19.9999999999998,19.9999999999998
3600,19.8071755102988,20.0308399150808,19.9999877403542,19.9999971550753,19.9999999957792,19.9999999999984,19.9999999999997,19.9999999999996,19.9999999999996,19.9999999999997,19.9999999999997
4500,21.8254257050812,20.0210935914801,20.0008771079182,19.9999942519183,19.9999999419592,19.999999999915,19.9999999999996,19.9999999999996,19.9999999999996,19.9999999999996,19.9999999999996
5400,21.1539162732456,20.0463991448601,20.0017374789696,20.0000110666038,19.9999997880352,19.999999998802,19.9999999999978,19.9999999999995,19.9999999999995,19.9999999999995,19.9999999999996
6300,21.8451210445817,20.0915610368564,20.0027441152897,20.0000587301759,19.99999990471,19.9999999939927,19.9999999999745,19.9999999999994,19.9999999999994,19.9999999999994,19.9999999999995
7200,21.2570980419173,20.1361712324155,20.0049203991418,20.0001346438844,20.0000012148875,19.9999999888867,19.9999999998458,19.9999999999988,19.9999999999993,19.9999999999994,19.9999999999994
8100,19.8986542967262,20.1706906807242,20.0084366094667,20.0002589763455,20.0000046663328,20.0000000108083,19.9999999995471,19.9999999999955,19.9999999999993,19.9999999999993,19.9999999999993
9000,19.7292279818512,20.1665278802657,20.0129503206031,20.0004708423202,20.0000113828613,20.0000001187191,19.9999999995902,19.9999999999848,19.9999999999991,19.9999999999992,19.9999999999993
9900,21.6945513943509,20.1371041581352,20.0173543256177,20.0008017407218,20.0000234116466,20.0000004020231,20.0000000020357,19.9999999999704,19.9999999999987,19.9999999999991,19.9999999999992
10800,19.493214753989,20.1371784269491,20.0203991303873,20.001251042221,20.0000438198729,20.0000009959736,20.0000000114449,20.0000000000037,19.9999999999979,19.9999999999991,19.9999999999991
11700,22.2799885642996,20.1353062518632,20.0222890655244,20.0017719582896,20.000075820799,20.0000021108815,20.0000000359367,20.0000000002527,19.9999999999975,19.999999999999,19.999999999999
12600,21.6860529560554,20.1522436071685,20.0238193148284,20.0023026655647,20.0001212385476,20.0000040433763,20.0000000889023,20.0000000010994,20.0000000000024,19.9999999999988,19.999999999999
13500,20.9315822420105,20.1959117923429,20.0253033431581,20.0028105742409,20.0001794870134,20.0000071403463,20.0000001912289,20.0000000032738,20.000000000027,19.9999999999988,19.9999999999989
14400,20.5048391718446,20.2171453761731,20.027764935254,20.0032892368019,20.0002481825943,20.0000117179634,20.0000003727426,20.000000008041,20.0000000001044,19.9999999999993,19.9999999999988
15300,21.0484257812094,20.2133975310563,20.0311121930833,20.0037620662468,20.0003245041446,20.0000179835467,20.0000006712051,20.0000000174288,20.0000000003005,20.0000000000017,19.9999999999987
16200,25.7900167275083,20.2156533634766,20.0343455287169,20.0042676913918,20.0004063995678,20.000026007431,20.0000011283672,20.0000000344294,20.0000000007331,20.0000000000088,19.9999999999987
17100,20.331345006232,20.3025800130396,20.037060128093,20.0048187007147,20.0004934130944,20.000035750186,20.0000017845191,20.0000000630743,20.0000000015967,20.0000000000266,19.9999999999989
