Time,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
0,20,20,20,20,20,20,20,20,20,20,20
900,20.1962093876904,20.0009650963223,20.0000000896786,20.0000000000003,20,20,20,20,20,20,20
1800,20.3915785766602,20.0159861415545,20.0000742985523,20.0000000370697,20.0000000000023,19.9999999999999,19.9999999999999,19.9999999999999,20,20,19.9999999999999
2700,20.5852709660484,20.0554172143215,20.0012367194666,20.0000056754515,20.0000000054565,20.0000000000011,19.9999999999999,19.9999999999999,19.9999999999999,19.9999999999999,19.9999999999999
3600,20.7764571353076,20.1174139539585,20.006110653109,20.0000958556268,20.000000438484,20.0000000006005,20.0000000000001,19.9999999999999,19.9999999999999,19.9999999999999,19.9999999999999
4500,20.9643183959095,20.1977663311973,20.0175389005638,20.0005986834036,20.0000074906563,20.000000034249,20.0000000000585,19.9999999999999,19.9999999999999,19.9999999999999,19.9999999999999
5400,21.1480502970953,20.2926092378475,20.0375140285064,20.0021884354366,20.0000551385016,20.0000005900728,20.0000000026989,20.0000000000052,19.9999999999998,19.9999999999999,19.9999999999998
6300,21.326866070657,20.3987471162991,20.067064148406,20.0057908133178,20.0002439826047,20.0000049022359,20.0000000468034,20.000000000214,20.0000000000003,19.9999999999998,19.9999999999998
7200,21.5,20.5135582447924,20.1064757822085,20.0124083040795,20.0007748049326,20.0000252709293,20.0000004265761,20.0000000037336,20.0000000000169,19.9999999999998,19.9999999999998
8100,21.6667106990588,20.6348587166546,20.1555358407014,20.0229744214008,20.0019573877266,20.0000937036854,20.000002489478,20.0000000366111,20.0000000002991,20.0000000000012,19.9999999999998
9000,21.8262842870262,20.760792003959,20.213715017674,20.0382678533762,20.0041936301064,20.0002740701664,20.0000105323552,20.0000002367102,20.0000000031132,20.0000000000238,19.9999999999998
9900,21.9780374453002,20.8897482873067,20.2802922874309,20.0588769209828,20.0079453368031,20.0006717873016,20.0000350600342,20.0000011212174,20.0000000219344,20.0000000002628,20.0000000000017
10800,22.1213203435596,21.0203071171626,20.3544358475282,20.085196153543,20.013697904566,20.0014382778832,20.0000971324674,20.0000041835923,20.0000001145338,20.0000000019935,20.0000000000218
11700,22.2555194224369,21.1511968330237,20.4352548070895,20.1174400677815,20.021927364359,20.002769518107,20.0002330607753,20.0000129480491,20.0000004727573,20.0000000113316,20.0000000001782
12600,22.3800600208737,21.2812657554148,20.5218319613069,20.1556644548557,20.033074238722,20.0048995891192,20.0004985608038,20.0000345157364,20.0000016170865,20.00000005116,20.0000000010929
13500,22.4944088369076,21.4094616419466,20.6132445359957,20.1997896192706,20.0475249467778,20.0080908871137,20.0009716290536,20.0000815100406,20.0000047485919,20.000000191551,20.0000000053462
14400,22.5980762113533,21.5348169848286,20.7085773391386,20.2496227094558,20.0656000472347,20.0126227055386,20.0017537246056,20.0001742209245,20.0000122984048,20.0000006147195,20.0000000217256
15300,22.6906182245981,21.6564384762321,20.8069311434592,20.3048778682049,20.0875480445694,20.0187795975931,20.0029691733022,20.0003426937858,20.000028686798,20.0000017347962,20.0000000756405
16200,22.7716385975339,21.7734994752053,20.9074280898497,20.3651938018092,20.1135434075569,20.0268405058596,20.0047629679782,20.0006285130091,20.0000612681815,20.0000043933178,20.0000002311803
